Generating SQLite file /home/<REMOTE_USER>/vocab_ce_tp2_rank1.sqlite from /home/<REMOTE_USER>/vocab_ce_tp2_rank1.nsys-rep
Processing [/home/<REMOTE_USER>/vocab_ce_tp2_rank1.sqlite] with [<REMOTE_HOME>/tools/nsys-2026.2.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.3,334810,48,6975.2,7296.0,5568,8096,813.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.3,322904,48,6727.2,6879.5,5152,8159,698.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.2,315578,48,6574.5,6847.5,5472,8704,775.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.1,281081,54,5205.2,4975.5,4352,6112,463.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.1,268347,48,5590.6,5216.0,4864,10592,970.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.0,256829,48,5350.6,5120.0,4512,6016,406.2,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.0,255355,67,3811.3,3744.0,3424,4512,176.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
1.0,250553,48,5219.9,4864.0,4640,10943,933.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.0,242970,48,5061.9,4879.5,4319,12224,1068.8,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.9,219929,48,4581.9,4576.0,4416,4768,85.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.8,210942,48,4394.6,4384.0,3968,4736,129.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,93343,6,15557.2,14016.0,12895,19712,3127.2,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::MaxNanFunctor<c10::Half>>, unsigned int, c10::Half, (int)4, (int)4>>(T3)"
0.3,78975,6,13162.5,12640.0,11199,17120,2035.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.3,65792,6,10965.3,11040.0,10720,11168,196.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.3,64319,15,4287.9,4352.0,3840,4672,292.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,52031,6,8671.8,9584.0,6720,9727,1500.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,51392,12,4282.7,4208.0,3936,4864,339.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<c10::Half>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,50943,12,4245.3,3904.0,3488,8448,1351.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,44351,6,7391.8,7248.0,5600,9215,1538.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,36830,6,6138.3,5967.5,5760,6624,360.8,"void at::native::<unnamed>::nll_loss_forward_no_reduce_cuda_kernel<c10::Half, long>(long, at::GenericPackedTensorAccessor<T1, (unsigned long)2, at::DefaultPtrTraits, long>, const T2 *, T1 *, const T1 *, long, long)"
0.1,34144,3,11381.3,11520.0,11072,11552,268.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)4>>(T3)"
0.1,32255,3,10751.7,11711.0,8672,11872,1802.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,31168,6,5194.7,5104.0,4640,6112,560.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,31167,6,5194.5,5120.0,4576,6208,606.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,29824,3,9941.3,10208.0,9056,10560,786.7,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::Half, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.1,29439,6,4906.5,5231.5,3872,5472,687.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,28159,6,4693.2,4528.0,4448,5120,321.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,26975,3,8991.7,8671.0,8416,9888,786.6,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned int, (int)4, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned int, uint4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned int) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned int) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.1,26816,3,8938.7,9760.0,7136,9920,1563.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, bool, at::native::<unnamed>::CompareEqFunctor<c10::Half>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,26688,6,4448.0,4448.0,4288,4608,110.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,26304,3,8768.0,9504.0,7072,9728,1473.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::AbsFunctor<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,25887,3,8629.0,9439.0,6848,9600,1544.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,19424,3,6474.7,6144.0,5824,7456,864.8,"void at::native::<unnamed>::nll_loss_backward_no_reduce_cuda_kernel<c10::Half, long>(int, const T2 *, at::GenericPackedTensorAccessor<const T1, (unsigned long)1, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<T1, (unsigned long)2, at::DefaultPtrTraits, long>, const T1 *, long, long)"
0.1,19424,3,6474.7,6432.0,6368,6624,133.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,17984,3,5994.7,5600.0,5536,6848,739.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,16288,3,5429.3,5376.0,5312,5600,151.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,16128,3,5376.0,4864.0,4832,6432,914.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, bool, at::native::<unnamed>::CompareEqFunctor<c10::Half>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,15104,3,5034.7,4672.0,4640,5792,656.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Half, bool, at::native::<unnamed>::CompareEqFunctor<c10::Half>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,14752,3,4917.3,4832.0,4800,5120,176.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,13952,2,6976.0,6976.0,6720,7232,362.0,"void <unnamed>::softmax_warp_forward<c10::Half, c10::Half, float, (int)7, (bool)1, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.1,13215,3,4405.0,4384.0,4351,4480,67.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,12608,2,6304.0,6304.0,6272,6336,45.3,"void <unnamed>::softmax_warp_forward<c10::Half, c10::Half, float, (int)6, (bool)1, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.0,12224,2,6112.0,6112.0,5920,6304,271.5,"void <unnamed>::softmax_warp_forward<c10::Half, c10::Half, float, (int)5, (bool)1, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.0,7680,1,7680.0,7680.0,7680,7680,0.0,"void <unnamed>::softmax_warp_backward<c10::Half, c10::Half, float, (int)7, (bool)1, (bool)0>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
0.0,5567,1,5567.0,5567.0,5567,5567,0.0,"void <unnamed>::softmax_warp_backward<c10::Half, c10::Half, float, (int)6, (bool)1, (bool)0>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
0.0,5152,1,5152.0,5152.0,5152,5152,0.0,"void <unnamed>::softmax_warp_backward<c10::Half, c10::Half, float, (int)5, (bool)1, (bool)0>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"

Processing [/home/<REMOTE_USER>/vocab_ce_tp2_rank1.sqlite] with [<REMOTE_HOME>/tools/nsys-2026.2.1/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.6,581769846,9,64641094.0,26769.0,10207,580819351,193566925.3,cudaFree
32.3,403289352,1604,251427.3,12690.0,5113,84857905,2779710.4,cudaLaunchKernel
7.0,87374101,43,2031955.8,2296264.0,4255,9462084,1427526.0,cudaStreamSynchronize
6.4,79851297,382,209034.8,757.0,230,72845516,3741747.7,cudaThreadExchangeStreamCaptureMode
2.2,27708180,15,1847212.0,1910409.0,83932,2466358,563132.0,cudaDeviceSynchronize
1.7,20762772,6,3460462.0,32797.5,18192,19182506,7723924.4,cudaHostAlloc
1.0,11871795,8,1483974.4,1335347.5,126507,3435212,1435030.3,cudaHostRegister
0.8,10345990,3,3448663.3,32429.0,20569,10292992,5927365.5,cudaFreeHost
0.5,6736984,128,52632.7,5587.0,3476,1996335,246813.9,cudaStreamCreateWithPriority
0.4,4668344,8,583543.0,596503.0,134095,1220658,399807.4,cudaHostUnregister
0.3,3645457,176,20712.8,17348.5,3082,53519,8882.6,cudaMemcpyAsync
0.2,2982939,827,3606.9,2426.0,771,344468,12323.5,cudaEventQuery
0.2,2646958,1011,2618.2,1851.0,823,26192,2562.8,cudaEventRecord
0.1,1587007,655,2422.9,2078.0,722,48575,2622.5,cudaStreamWaitEvent
0.1,1177696,4,294424.0,309707.5,216661,341620,57018.9,cudaGetDeviceProperties
0.1,996820,9,110757.8,12754.0,4903,378385,149222.2,cudaMalloc
0.1,780077,262,2977.4,2436.0,695,44094,3404.4,cudaEventCreateWithFlags
0.0,352725,180,1959.6,1659.5,410,32787,2681.3,cudaStreamIsCapturing
0.0,336301,196,1715.8,1537.5,668,8595,818.4,cudaEventDestroy
0.0,220881,163,1355.1,1121.0,797,16673,1537.3,cudaStreamGetCaptureInfo
0.0,114405,8,14300.6,3541.0,2379,45120,16475.5,cudaMemsetAsync
0.0,61962,3,20654.0,22386.0,5747,33829,14120.9,cudaStreamCreateWithFlags
0.0,35704,3,11901.3,9334.0,7515,18855,6090.3,cudaStreamDestroy
0.0,4399,1,4399.0,4399.0,4399,4399,0.0,cuInit
0.0,2201,2,1100.5,1100.5,881,1320,310.4,cuModuleGetLoadingMode

